especie_agregada,id_especie_agregada
"BOVINOS (PRODUCTORES DE CARNE Y LECHE), OVINOS Y CAPRINOS, CANINOS Y FELINOS DOMESTICOS",156
"BOVINOS CARNE Y LECHE, EQUINOS, PORCINOS, CAPRINOS, CANINOS Y FELINOS DOMESTICOS",157
"BOVINOS CARNE Y LECHE, PORCINOS, CARPINOS, CANINOS Y FELINOS DOMESTICO S",158
"AVES REPRODUCTORAS, EQUINOS, PORCINOS DE REPRODUCCION, CANINOS Y FELINOS",159
"BOVINOS LECHE Y CARNE, EQUINOS, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",160
"BOVINOS CARNE, LECHE, EQUINOS, CERDOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",161
"BOVINOS (CARNE Y LECHE), PORCINOS, OVIOS, CAPRINOS, EQUINOS, CANINOS Y FELINOS",162
"AVES, BOVINOS, PORCINOS, OVINOS, CANINOS Y FELINOS",163
"BOVINOS, EQUINOS, PORCINOS, OVINOS Y CAPRINOS CANINOS Y FELINOS",164
"BOVINOS (CARNE) EQUINOS, OVINOS, CAPRINOS, PORCINOS, AVES (PRODUCTORAS DE HUEVO Y POLLO DE ENGORDA), CANINOS Y FELINOS",165
CANINOS Y FELINOS GIARDICIDA Y COCCIDICIDA,166
CANINOS Y FELINOS EFECTO SHAMPOO DERMATOLOGICO ANTISCEPTICO CON PROPIEDADES ANTIINFLAMATORIAS,167
"BOVINOS (PRODUCTORES DE CARNE Y LECHE) EQUINOS, OVINOS, CAPRINOS Y PORCINOS (EN TODAS LAS ETAPAS PRODUCTIVAS) CANINOS Y FELINOS",168
"EQUINOS, PORCINOS, BOVINOS (CARNE), OVINOS, CAPRINOS, CANINOS Y FELINOS",169
"BOVINOS CARNE Y LECHE, EQUINOS, OVINOS, CAPRINOS, PORCINOS EN TODAS LAS ETAPAS PRODUCTIVAS, CANINOS Y FELINOS",170
"BOVINOS BECERROS, PORCINOS LECHONES Y CANINOS Y FELINOS",171
"BOVINOIS CARNE Y LECHE, OVINOS, CAPRINOS, CANINOS Y FELINOS",172
"BOV (CARNE, LECHE), EQUINOS, CANINOS Y FELINOS",173
